REPETICAO;CLASSE;DIAMETRO_MEDIO;MASSA_LATA;MASSA_LATA_SS;MASSA_SS;PERCENTUAL_MASSA_SS
1;A;5;48,02;55,22;7,2;29,43826244
1;B;1,5;44,58;49,18;4,6;18,80777878
1;C;0,75;44,08;49,09;5,01;20,48412428
1;D;0,375;45,16;49,55;4,39;17,9491628
1;E;0,1775;44,07;45,99;1,92;7,850203318
1;F;0,0525;;;1,337965255;5,470468376
2;A;5;49,73;60,06;10,33;42,23572931
2;B;1,5;43,86;47,58;3,72;15,20976893
2;C;0,75;44,8;49,16;4,36;17,82650337
2;D;0,375;43,94;47,42;3,48;14,22849351
2;E;0,1775;43,66;45,23;1,57;6,419176672
2;F;0,0525;;;0,997965255;4,080328205
3;A;5;45,16;53,88;8,72;35,65300674
3;B;1,5;44,57;50,42;5,85;23,91858824
3;C;0,75;45,21;48,44;3,23;13,20633162
3;D;0,375;47,38;51,08;3,7;15,12799598
3;E;0,1775;45,43;47,13;1,7;6,950700855
3;F;0,0525;;;1,257965255;5,143376571
